"Characteristics","Malaria parasite present (N = 421)
n (%)","Malaria parasite absent (N = 181)
n (%)","Crude OR (95% CI)"
"Sex","","",""
"Male","201 (74.2)","70 (25.8)","1.4 (1.0–2.1)"
"Female","220 (66.5)","111 (33.5)","ref"
"Age group (years)","","",""
"<5","67 (73.6)","24 (26.4)","ref"
"5–9","90 (80.4)","22 (19.6)","1.5 (0.8–2.8)"
"10–19","90 (66.2)","46 (33.8)","0.7 (0.4–1.3)"
"20–24","35 (70.0)","15 (30.0)","0.8 (0.4–1.8)"
"25–34","76 (68.5)","35 (31.5)","0.8 (0.4–1.4)"
"≥35","63 (61.8)","39 (38.2)","0.6 (0.3–1.1)"
"Area council","","",""
"Abuja municipal","275 (71.4)","110 (28.6)","ref"
"Kuje","120 (68.2)","56 (31.8)","0.9 (0.6–1.3)"
"Kwali","26 (63.4)","15 (36.6)","0.7 (0.4–1.4)"
"Slept in the same room with patient","","",""
"Yes","190 (67.1)","93 (32.9)","0.8 (0.5–1.1)"
"No","231 (72.4)","88 (27.6)","ref"
"Uncovered water receptacles","","",""
"Yes","52 (68.4)","24 (31.6)","0.9 (0.5–1.5)"
"No","369 (70.2)","157 (29.8)","ref"
"Bushes around house","","",""
"Yes","169 (80.5)","41 (19.5)","2.3 (1.5–3.4)"
"No","252 (64.3)","140 (35.7)","ref"
"LLIN use","","",""
"Yes","72 (67.3)","35 (32.7)","0.9 (0.5–1.3)"
"No","349 (70.5)","146 (29.5)","ref"
"House walls","","",""
"Mud","86 (68.3)","40 (31.7)","0.9 (0.6–1.4)"
"Cement plastered","335 (70.4)","141 (29.6)","ref"
